Country,Year,Annualmean,5yraverage,Code
Afghanistan,2022,14.48,14.12,AFG
Albania,2022,13.31,13.24,ALB
Algeria,2022,24.11,24,DZA
Andorra,2022,9.73,9.17,AND
Angola,2022,21.63,21.63,AGO
Argentina,2022,15.07,15.23,ARG
Armenia,2022,8.64,8.82,ARM
Australia,2022,21.96,21.95,AUS
Austria,2022,8.65,8.2,AUT
Azerbaijan,2022,13.84,13.94,AZE
Bahamas,2022,26.05,25.95,BHS
Bahrain,2022,28.84,28.93,BHR
Bangladesh,2022,25.74,25.72,BGD
Barbados,2022,26.45,26.53,BRB
Belarus,2022,7.98,8.01,BLR
Belgium,2022,11.98,11.46,BEL
Belize,2022,25.83,25.98,BLZ
Benin,2022,28.09,28.31,BEN
Bhutan,2022,10.56,10.6,BTN
Bolivia,2022,20.68,20.77,BOL
Botswana,2022,22,21.84,BWA
Brazil,2022,25.54,25.57,BRA
Bulgaria,2022,12.28,12.38,BGR
Burundi,2022,20.43,20.44,BDI
Cambodia,2022,27.25,27.39,KHM
Cameroon,2022,24.94,25.07,CMR
Canada,2022,-4.22,-4.08,CAN
Central African Republic,2022,25.56,25.68,CAF
Chad,2022,27.28,27.43,TCD
Chile,2022,9.37,9.54,CHL
Colombia,2022,24.71,24.78,COL
Comoros,2022,23.74,23.9,COM
"Congo, Dem. Rep.",2022,24.38,24.42,DRC
Costa Rica,2022,24.64,24.72,CRI
Cote d'Ivoire,2022,26.84,27.02,CIV
Croatia,2022,13.16,12.84,HRV
Cuba,2022,26.14,26.06,CUB
Cyprus,2022,19.33,19.72,CYP
Denmark,2022,9.77,9.5,DNK
Djibouti,2022,28.6,28.41,DJI
Dominica,2022,26.68,26.77,DMA
Dominican Republic,2022,24.57,24.56,DOM
Ecuador,2022,21.07,21.19,ECU
Egypt,2022,23.23,23.43,EGY
Eritrea,2022,26.49,26.5,ERI
Estonia,2022,6.9,6.93,EST
Eswatini,2022,20.92,20.69,SWZ
Ethiopia,2022,23.45,23.32,ETH
Fiji,2022,24.98,25.12,FJI
Finland,2022,3.24,2.94,FIN
France,2022,13.16,12.61,FRA
Gabon,2022,25.46,25.58,GAB
Gambia,2022,28.46,28.71,GMB
Georgia,2022,9.92,10.12,GEO
Germany,2022,10.83,10.37,DEU
Ghana,2022,27.73,27.93,GHA
Greece,2022,14.88,15.12,GRC
Grenada,2022,26.33,26.39,GRD
Guatemala,2022,23.77,23.92,GTM
Guinea,2022,25.95,26.2,GIN
Guinea Bissau,2022,28.05,28.33,GNB
Guyana,2022,26.16,26.18,GUY
Haiti,2022,25.01,24.98,HTI
Honduras,2022,24.71,24.84,HND
Hungary,2022,12.62,12.27,HUN
Iceland,2022,2.11,2.14,ISL
Indonesia,2022,25.96,26.01,IDN
"Iran, Islamic Rep.",2022,19.3,19.25,IRN
Iraq,2022,23.81,23.98,IRQ
Israel,2022,20.23,20.55,ISR
Italy,2022,14.38,14.04,ITA
Jamaica,2022,26.02,25.93,JAM
Japan,2022,12.42,12.53,JPN
Jordan,2022,19.77,20.08,JOR
Kazakhstan,2022,8.06,8.04,KAZ
Kenya,2022,25.22,25.28,KEN
Kiribati,2022,27.77,27.83,KIR
"Korea, Rep.",2022,12.76,12.84,KOR
Kuwait,2022,27.58,27.66,KWT
Kyrgyz Republic,2022,3.93,3.56,KGZ
Latvia,2022,7.4,7.44,LVA
Lebanon,2022,15.66,16,LBN
Lesotho,2022,12.64,12.45,LSO
Liberia,2022,25.47,25.57,LBR
Libya,2022,22.8,22.92,LBY
Liechtenstein,2022,9.05,8.43,LIE
Luxembourg,2022,11.43,10.87,LUX
Madagascar,2022,22.7,22.79,MDG
Malawi,2022,22.55,22.63,MWI
Malaysia,2022,26.35,26.41,MYS
Maldives,2022,28.08,28.13,MDV
Mali,2022,29.19,29.42,MLI
Malta,2022,20.26,20.2,MLT
Mauritania,2022,28.9,29.05,MRT
Mauritius,2022,23.27,23.45,MUS
Mexico,2022,21.7,21.82,MEX
Moldova,2022,11.9,11.79,MDA
Monaco,2022,15.01,14.42,MCO
Mongolia,2022,1.31,1.39,MNG
Montenegro,2022,11,10.78,MNE
Mozambique,2022,24.42,24.46,MOZ
Myanmar,2022,23.96,24.08,MMR
Nauru,2022,27.87,28.03,NRU
Nepal,2022,14.39,14.23,NPL
Netherlands,2022,11.72,11.26,NLD
New Zealand,2022,11.66,11.46,NZL
Nicaragua,2022,25.81,25.91,NIC
Niger,2022,27.61,27.77,NER
Nigeria,2022,27.15,27.32,NGA
Norway,2022,2.88,2.53,NOR
Oman,2022,27.94,27.99,OMN
Pakistan,2022,22.23,21.96,PAK
Palau,2022,27.54,27.42,PLW
Panama,2022,25.33,25.41,PAN
Papua New Guinea,2022,24.78,24.79,PNG
Paraguay,2022,23.86,24,PRY
Peru,2022,19.58,19.6,PER
Philippines,2022,26.61,26.66,PHL
Poland,2022,9.7,9.44,POL
Portugal,2022,16.9,16.55,PRT
