Year,Attribute,Sea-level-change
1880,Adjusted-sea-level,0
1880,Lower-error-bound,-0.952755905
1880,Upper-error-bound,0.952755905
1881,Adjusted-sea-level,0.220472441
1881,Lower-error-bound,-0.732283464
1881,Upper-error-bound,1.173228345
1882,Adjusted-sea-level,-0.440944881
1882,Lower-error-bound,-1.346456692
1882,Upper-error-bound,0.464566929
1883,Adjusted-sea-level,-0.232283464
1883,Lower-error-bound,-1.129921259
1883,Upper-error-bound,0.66535433
1884,Adjusted-sea-level,0.59055118
1884,Lower-error-bound,-0.283464567
1884,Upper-error-bound,1.464566928
1885,Adjusted-sea-level,0.531496062
1885,Lower-error-bound,-0.330708661
1885,Upper-error-bound,1.393700786
1886,Adjusted-sea-level,0.437007874
1886,Lower-error-bound,-0.381889763
1886,Upper-error-bound,1.255905511
1887,Adjusted-sea-level,0.216535433
1887,Lower-error-bound,-0.602362204
1887,Upper-error-bound,1.03543307
1888,Adjusted-sea-level,0.299212598
1888,Lower-error-bound,-0.519685039
1888,Upper-error-bound,1.118110235
1889,Adjusted-sea-level,0.362204724
1889,Lower-error-bound,-0.456692913
1889,Upper-error-bound,1.181102361
1890,Adjusted-sea-level,0.440944881
1890,Lower-error-bound,-0.374015748
1890,Upper-error-bound,1.255905511
1891,Adjusted-sea-level,0.374015748
1891,Lower-error-bound,-0.440944881
1891,Upper-error-bound,1.188976377
1892,Adjusted-sea-level,0.499999999
1892,Lower-error-bound,-0.31496063
1892,Upper-error-bound,1.314960629
1893,Adjusted-sea-level,0.685039369
1893,Lower-error-bound,-0.114173228
1893,Upper-error-bound,1.484251967
1894,Adjusted-sea-level,0.303149606
1894,Lower-error-bound,-0.547244094
1894,Upper-error-bound,1.153543306
1895,Adjusted-sea-level,0.767716535
1895,Lower-error-bound,-0.082677165
1895,Upper-error-bound,1.618110235
1896,Adjusted-sea-level,0.468503937
1896,Lower-error-bound,-0.366141732
1896,Upper-error-bound,1.303149605
1897,Adjusted-sea-level,0.673228346
1897,Lower-error-bound,-0.145669291
1897,Upper-error-bound,1.492125983
1898,Adjusted-sea-level,1.043307086
1898,Lower-error-bound,0.267716535
1898,Upper-error-bound,1.818897636
1899,Adjusted-sea-level,1.338582676
1899,Lower-error-bound,0.574803149
1899,Upper-error-bound,2.102362203
1900,Adjusted-sea-level,1.125984251
1900,Lower-error-bound,0.405511811
1900,Upper-error-bound,1.846456691
1901,Adjusted-sea-level,1.110236219
1901,Lower-error-bound,0.417322834
1901,Upper-error-bound,1.803149604
1902,Adjusted-sea-level,1.291338581
1902,Lower-error-bound,0.61023622
1902,Upper-error-bound,1.972440943
1903,Adjusted-sea-level,1.606299211
1903,Lower-error-bound,0.937007873
1903,Upper-error-bound,2.275590549
1904,Adjusted-sea-level,1.2007874
1904,Lower-error-bound,0.53543307
1904,Upper-error-bound,1.86614173
1905,Adjusted-sea-level,0.984251968
1905,Lower-error-bound,0.377952756
1905,Upper-error-bound,1.590551179
1906,Adjusted-sea-level,1.251968503
1906,Lower-error-bound,0.673228346
1906,Upper-error-bound,1.83070866
1907,Adjusted-sea-level,1.196850392
1907,Lower-error-bound,0.61023622
1907,Upper-error-bound,1.783464565
1908,Adjusted-sea-level,1.098425196
1908,Lower-error-bound,0.527559055
1908,Upper-error-bound,1.669291337
1909,Adjusted-sea-level,1.27559055
1909,Lower-error-bound,0.700787401
1909,Upper-error-bound,1.850393699
1910,Adjusted-sea-level,1.271653542
1910,Lower-error-bound,0.696850393
1910,Upper-error-bound,1.846456691
1911,Adjusted-sea-level,1.598425195
1911,Lower-error-bound,1.039370078
1911,Upper-error-bound,2.157480313
1912,Adjusted-sea-level,1.476377951
1912,Lower-error-bound,0.917322834
1912,Upper-error-bound,2.035433069
1913,Adjusted-sea-level,1.547244093
1913,Lower-error-bound,0.992125983
1913,Upper-error-bound,2.102362203
1914,Adjusted-sea-level,1.795275589
1914,Lower-error-bound,1.251968503
1914,Upper-error-bound,2.338582675
1915,Adjusted-sea-level,2.10629921
1915,Lower-error-bound,1.57086614
1915,Upper-error-bound,2.641732281
1916,Adjusted-sea-level,2.031496061
1916,Lower-error-bound,1.519685038
1916,Upper-error-bound,2.543307084
1917,Adjusted-sea-level,1.854330707
1917,Lower-error-bound,1.350393699
1917,Upper-error-bound,2.358267714
1918,Adjusted-sea-level,1.791338581
1918,Lower-error-bound,1.291338581
1918,Upper-error-bound,2.29133858
1919,Adjusted-sea-level,1.854330707
1919,Lower-error-bound,1.354330707
1919,Upper-error-bound,2.354330706
1920,Adjusted-sea-level,1.905511809
1920,Lower-error-bound,1.393700786
1920,Upper-error-bound,2.417322832
1921,Adjusted-sea-level,1.988188974
1921,Lower-error-bound,1.472440943
1921,Upper-error-bound,2.503937005
1922,Adjusted-sea-level,1.952755904
1922,Lower-error-bound,1.433070865
1922,Upper-error-bound,2.472440942
1923,Adjusted-sea-level,1.999999998
1923,Lower-error-bound,1.488188975
1923,Upper-error-bound,2.511811021
1924,Adjusted-sea-level,1.712598423
1924,Lower-error-bound,1.196850392
1924,Upper-error-bound,2.228346454
1925,Adjusted-sea-level,1.791338581
1925,Lower-error-bound,1.255905511
1925,Upper-error-bound,2.326771651
1926,Adjusted-sea-level,2.047244092
1926,Lower-error-bound,1.507874014
1926,Upper-error-bound,2.586614171
1927,Adjusted-sea-level,2.003937006
1927,Lower-error-bound,1.496062991
1927,Upper-error-bound,2.511811021
1928,Adjusted-sea-level,1.850393699
1928,Lower-error-bound,1.366141731
1928,Upper-error-bound,2.334645667
1929,Adjusted-sea-level,1.905511809
1929,Lower-error-bound,1.429133857
1929,Upper-error-bound,2.381889761
1930,Adjusted-sea-level,2.062992124
1930,Lower-error-bound,1.590551179
1930,Upper-error-bound,2.535433068
1931,Adjusted-sea-level,2.047244092
1931,Lower-error-bound,1.566929132
1931,Upper-error-bound,2.527559053
1932,Adjusted-sea-level,2.271653541
1932,Lower-error-bound,1.803149604
1932,Upper-error-bound,2.740157478
1933,Adjusted-sea-level,2.440944879
1933,Lower-error-bound,1.976377951
1933,Upper-error-bound,2.905511808
1934,Adjusted-sea-level,2.228346454
1934,Lower-error-bound,1.759842518
1934,Upper-error-bound,2.696850391
1935,Adjusted-sea-level,2.448818895
1935,Lower-error-bound,1.980314959
1935,Upper-error-bound,2.917322832
1936,Adjusted-sea-level,2.295275588
1936,Lower-error-bound,1.83070866
1936,Upper-error-bound,2.759842517
1937,Adjusted-sea-level,2.519685037
1937,Lower-error-bound,2.055118108
